UIDLU,Site name,Latitude,Longitude
JUD200,"Judds Ck, Lonnavale Rd",-42.9932,146.92425
KEL250,"Kellaways Ck, above Vincents Rd",-43.0352,147.1435
KEL400,"Kellaways Ck, Halls Track Rd",-43.044,147.11749
KEL600,"Kellaways Ck, below Lords Rd",-43.0624,147.08964
KER100,Kermandie R u/s South Ck,-43.1858,146.879
KER200,"Kermandie R, McKibbens Rd",-43.17617,146.91488
KER600,"Kermandie R, Arve Rd",-43.165,146.93179
KER800,"Kermandie R, O'hallorans Rd",-43.1685,146.9425
KER900,"Kermandie R, Whale Point Rd",-43.1687,146.9424
LDR500,"Little Denison R, Denison Rd",-42.99997,146.83034
MOU100,"Mountain R, end Mtn River Rd",-42.91933,147.1378
MOU200,"Mountain R, Bennetts Rd",-42.93778,147.13459
MOU250,Grundys Ck Mnt River Rd,-42.93864,147.1346
MOU600,"Mountain R, Crabtree Rd",-42.96708,147.0873
MOU650,"Mountain R, Lollara Rd",-42.99538,147.06616
MOU850,"Mountain R, Wilmot Rd",-43.01771,147.04126
NIC100,"Nicholls Rlt, Smiths Rd",-43.12425,147.15576
NIC300,"Nicholls Rlt, Underwood Rd",-43.14895,147.15124
PCK100,"Prices Ck, Rankins Rd",-43.0819,146.9852
PCK200,"Prices Ck, 124 New Rd",-43.08308,146.9993
PCK300,"Prices Ck, 26 New Rd",-43.08531,147.0103
PEL300,"Pelverata Ck, Pelverata Rd",-43.04955,147.1111
PIC002,"Picton R, Riveaux Rd",-43.10802,146.71806
RIL200,"Rileys Ck, above dam",-43.19689,146.93262
RIL400,"Rileys Ck, 1st bridge Rileys Ck Rd",-43.17887,146.92375
RUS010,"Russell R, Russell Rd",-42.94137,146.7878
RUS090,"Russell R, Orana",-42.9713,146.8436
RUS100,"Russell R, Lonnavale Rd",-42.98383,146.85933
SMI400,"Smiths Ck, Huon Hwy",-42.98383,146.85933
STH200,"South Ck, at Kermandie R",-43.18591,146.88188
STT400,"Scotts Rlt, Fourfoot Rd",-43.16127,146.92245
WAT200,"Watsons Ck, Glen Huon Rd",-43.02492,146.95785
